canonical_task_id,harnesses_tried,deduplicated_attempts,graded_attempts,successful_attempts,accuracy_winner_harnesses,accuracy_winner_samples,lowest_success_tokens,token_winner_harness,token_winner_variant,token_winner_job,token_winner_trial,lowest_success_cost_usd,cost_winner_harness,cost_winner_variant,cost_winner_job,cost_winner_trial,fastest_success_seconds,time_winner_harness,time_winner_variant,time_winner_job,time_winner_trial,token_winner_trace_path,token_winner_trace_status,cost_winner_trace_path,cost_winner_trace_status,time_winner_trace_path,time_winner_trace_status
astropy__astropy-12907,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,25,20,18,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 3/3; mini-swe-agent 7/8; opencode 1/1; pi 1/1; subconscious-code 4/4,67233,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-12907__mLQqAHP,0.0376,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,0e935739a934,astropy__astropy-12907__n9NEboj,132.4,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-12907__317a963,swebench-verified-winning-traces/0017241088a1/astropy__astropy-12907__mLQqAHP/trajectory.json.gz,existing,swebench-verified-winning-traces/0e935739a934/astropy__astropy-12907__n9NEboj/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-12907__317a963/trajectory.json.gz,downloaded
astropy__astropy-13033,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,12,12,2,opencode; pi,opencode 1/1; pi 1/1,776448,pi,pi | subconscious/glm-5.2 | e2b | python,ac02f4ca2ef4,astropy__astropy-13033__KqhQvHX,,,,,,263.5,opencode,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,astropy__astropy-13033__X9WyVwG,swebench-verified-winning-traces/ac02f4ca2ef4/astropy__astropy-13033__KqhQvHX/trajectory.json.gz,archive_error,,not_selected,swebench-verified-winning-traces/c57b386851fd/astropy__astropy-13033__X9WyVwG/trajectory.json.gz,downloaded
astropy__astropy-13236,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,32,19,6,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 1/4; codex 2/2; mini-swe-agent 1/7; opencode 1/1; subconscious-code 1/4,176271,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-13236__vxKCJLt,0.0787,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,0e935739a934,astropy__astropy-13236__fh4kZPg,259.8,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-13236__vxKCJLt,swebench-verified-winning-traces/0017241088a1/astropy__astropy-13236__vxKCJLt/trajectory.json.gz,existing,swebench-verified-winning-traces/0e935739a934/astropy__astropy-13236__fh4kZPg/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/astropy__astropy-13236__vxKCJLt/trajectory.json.gz,existing
astropy__astropy-13398,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,0,,,,,,,,,,,,,,,,,,,not_selected,,not_selected,,not_selected
astropy__astropy-13453,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,17,13,7,claude-code; opencode; subconscious-code,claude-code 2/3; opencode 1/1; subconscious-code 4/4,120056,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-13453__0f5f91c,3.8202,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,astropy__astropy-13453__pAnVhJ6,166.9,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-13453__SJez7Dy,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-13453__0f5f91c/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1d4355e54894/astropy__astropy-13453__pAnVhJ6/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/astropy__astropy-13453__SJez7Dy/trajectory.json.gz,existing
astropy__astropy-13579,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,26,22,8,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 2/4; codex 1/2; mini-swe-agent 1/10; opencode 1/1; subconscious-code 3/4,268407,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1970c693b4a5,astropy__astropy-13579__0396be3,0.7251,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-13579__QZ2jByH,251.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,astropy__astropy-13579__ec67939,swebench-verified-winning-traces/1970c693b4a5/astropy__astropy-13579__0396be3/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-13579__QZ2jByH/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/astropy__astropy-13579__ec67939/trajectory.json.gz,downloaded
astropy__astropy-13977,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,12,12,1,codex,codex 1/2,1067643,codex,codex | subconscious/glm-5.2 | e2b | python,a68304ea3a4a,astropy__astropy-13977__34d7b17,,,,,,660.7,codex,codex | subconscious/glm-5.2 | e2b | python,a68304ea3a4a,astropy__astropy-13977__34d7b17,swebench-verified-winning-traces/a68304ea3a4a/astropy__astropy-13977__34d7b17/trajectory.json.gz,downloaded,,not_selected,swebench-verified-winning-traces/a68304ea3a4a/astropy__astropy-13977__34d7b17/trajectory.json.gz,downloaded
astropy__astropy-14096,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,151,120,10,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 1/2; codex 2/3; mini-swe-agent 3/109; opencode 1/1; subconscious-code 3/4,106464,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-14096__sxoHP85,0.0474,mini-swe-agent,mini-swe-agent | openai/subconscious/tim-qwen3.6-27b | e2b | python,7685d364d232,astropy__astropy-14096__8d8bad3,149.4,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14096__ba75297,swebench-verified-winning-traces/0017241088a1/astropy__astropy-14096__sxoHP85/trajectory.json.gz,existing,swebench-verified-winning-traces/7685d364d232/astropy__astropy-14096__8d8bad3/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14096__ba75297/trajectory.json.gz,downloaded
astropy__astropy-14182,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,158,133,8,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 1/2; codex 2/3; mini-swe-agent 1/120; opencode 1/1; subconscious-code 3/5,340705,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14182__2e0b9c1,0.4051,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,astropy__astropy-14182__dLf4sVX,211.7,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-14182__2e0b9c1,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14182__2e0b9c1/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/astropy__astropy-14182__dLf4sVX/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-14182__2e0b9c1/trajectory.json.gz,downloaded
astropy__astropy-14309,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,137,118,61,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/4; codex 1/1; mini-swe-agent 52/107; opencode 2/2; pi 1/1; subconscious-code 3/3,26515,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-14309__jy37joH,0.025,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,1ca7fbb59d90,astropy__astropy-14309__4pUDt3c,77.4,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-14309__jy37joH,swebench-verified-winning-traces/0017241088a1/astropy__astropy-14309__jy37joH/trajectory.json.gz,existing,swebench-verified-winning-traces/1ca7fbb59d90/astropy__astropy-14309__4pUDt3c/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/astropy__astropy-14309__jy37joH/trajectory.json.gz,existing
