canonical_task_id,roles,harness,model,variant,job_id,trial_name,resolved,total_tokens,cost_usd,duration_seconds,archive_member,trace_path,status,compressed_bytes,uncompressed_bytes,sha256,error
astropy__astropy-12907,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-12907__mLQqAHP,True,67233,,145,run/astropy__astropy-12907__mLQqAHP/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-12907__mLQqAHP/trajectory.json.gz,existing,8460,40408,8bdb0a8e78956213b49831ea82b6e8613b9a7d9e91bf2ffe51056d7092b5c6af,
astropy__astropy-12907,cost,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,0e935739a934,astropy__astropy-12907__n9NEboj,True,154220,0.0376,373.7,run/astropy__astropy-12907__n9NEboj/agent/trajectory.json,swebench-verified-winning-traces/0e935739a934/astropy__astropy-12907__n9NEboj/trajectory.json.gz,downloaded,13662,81576,991dfc125f8fce84e717b932a84358476528a54f12fbde56893d7b53b3c08eb1,
astropy__astropy-12907,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-12907__317a963,True,72459,,132.4,run/astropy__astropy-12907__317a963/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-12907__317a963/trajectory.json.gz,downloaded,7365,35520,a62553e880f201f3d203b68f7ba774357c5151f5bad2613a15f7954538a223da,
astropy__astropy-13033,token,pi,subconscious/glm-5.2,pi | subconscious/glm-5.2 | e2b | python,ac02f4ca2ef4,astropy__astropy-13033__KqhQvHX,True,776448,,806,run/astropy__astropy-13033__KqhQvHX/agent/trajectory.json,swebench-verified-winning-traces/ac02f4ca2ef4/astropy__astropy-13033__KqhQvHX/trajectory.json.gz,archive_error,,,,HTTPError: HTTP Error 524: <none>
astropy__astropy-13033,time,opencode,subconscious/glm-5.2,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,astropy__astropy-13033__X9WyVwG,True,1419749,,263.5,run/astropy__astropy-13033__X9WyVwG/agent/trajectory.json,swebench-verified-winning-traces/c57b386851fd/astropy__astropy-13033__X9WyVwG/trajectory.json.gz,downloaded,48397,260947,43fc36a7fd137ac6b256e5c10aa4fd28b50145c847fe7896b274e83b98df13b8,
astropy__astropy-13236,token; time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-13236__vxKCJLt,True,176271,,259.8,run/astropy__astropy-13236__vxKCJLt/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-13236__vxKCJLt/trajectory.json.gz,existing,14266,71029,cdeaa47db500ca9d31e4b709610f99f1589ab9029c4208dfb089aec23dc91218,
astropy__astropy-13236,cost,mini-swe-agent,glm-gcp1,mini-swe-agent | glm-gcp1 | e2b | python,0e935739a934,astropy__astropy-13236__fh4kZPg,True,349646,0.0787,552.9,run/astropy__astropy-13236__fh4kZPg/agent/trajectory.json,swebench-verified-winning-traces/0e935739a934/astropy__astropy-13236__fh4kZPg/trajectory.json.gz,downloaded,21737,111771,b741072a1772dd6ab11b5865c8276b30f489be9326eb49207c15ae2295cd7fcd,
astropy__astropy-13453,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,astropy__astropy-13453__SJez7Dy,True,287611,,166.9,run/astropy__astropy-13453__SJez7Dy/agent/trajectory.json,swebench-verified-winning-traces/0017241088a1/astropy__astropy-13453__SJez7Dy/trajectory.json.gz,existing,17551,88959,27e450d329230a36fbe0689fa2cd615e6a0f7a69b2e61dcf2c1d60dee63d60b8,
astropy__astropy-13453,cost,claude-code,subconscious/glm-5.2,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,astropy__astropy-13453__pAnVhJ6,True,1083288,3.8202,429.2,run/astropy__astropy-13453__pAnVhJ6/agent/trajectory.json,swebench-verified-winning-traces/1d4355e54894/astropy__astropy-13453__pAnVhJ6/trajectory.json.gz,downloaded,31748,240092,0c5f95d17f1a8072e64af17003ecee54bbc77686465ddcc9391aff48377c9a03,
astropy__astropy-13453,token,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,astropy__astropy-13453__0f5f91c,True,120056,,351.6,run/astropy__astropy-13453__0f5f91c/agent/trajectory.json,swebench-verified-winning-traces/472ee1f9d42c/astropy__astropy-13453__0f5f91c/trajectory.json.gz,downloaded,13880,65017,a8e1b6104ca995a2f8d15fa307282a925ebeb3be11db2ed9b17c9f22c6053504,
astropy__astropy-13579,time,subconscious-code,subconscious/glm-5.2,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,astropy__astropy-13579__ec67939,True,619427,,251.3,run/astropy__astropy-13579__ec67939/agent/trajectory.json,swebench-verified-winning-traces/187f0c30fc5f/astropy__astropy-13579__ec67939/trajectory.json.gz,downloaded,24856,140543,3361303d1fecef809221f7df883c48791a9f2325b18c7662f7a8f7a72627d07d,
